Date,Open,High,Low,Close,Volume 
2014-10-10,360.91,378.13,353.32,361.71,28410
2014-10-11,361.71,370.15,350.49,361.22,13926
2014-10-12,361.22,374.57,352.25,373.17,11227
2014-10-13,373.17,391.22,366.04,387.32,23576
2014-10-14,387.32,407.74,385.72,397.1,28866
2014-10-15,397.1,397.87,388.23,393.17,22484
2014-10-16,393.17,398.84,371.56,379.77,20785
2014-10-17,379.77,384.76,372.42,380.48,16567
2014-10-18,380.48,395.71,373.58,390.88,9445
2014-10-19,390.88,394.49,383.92,387.28,5325
2014-10-20,387.28,387.77,378.42,380.39,10555
2014-10-21,380.39,388.24,377.42,382.35,9662
2014-10-22,382.35,383.69,376.97,378.93,10531
2014-10-23,378.93,381.08,353.48,355.78,19121
2014-10-24,355.78,360.87,351.41,355.1,20034
2014-10-25,355.1,356.57,341.53,346.72,14042
2014-10-26,346.72,356.8,344.19,348.67,11577
2014-10-27,348.67,356.35,344.93,350.09,10603
2014-10-28,350.09,355.72,348.27,351.06,9430
2014-10-29,351.06,352.83,334.72,335.12,12263
2014-10-30,335.12,350.38,333.44,344.86,16120
2014-10-31,344.86,347.97,336.08,337.87,14003
2014-11-01,337.87,339,320.74,325.43,13774
2014-11-02,325.43,329.76,319.81,322.55,11896
2014-11-03,322.55,332.85,321.67,324.24,13433
2014-11-04,324.24,328.75,320.11,327.96,15115
2014-11-05,327.96,341.98,326.52,338.01,15838
2014-11-06,338.01,351.14,335.74,347.67,15649
2014-11-07,347.67,351.61,340.18,341.87,15017
2014-11-08,341.87,346.29,339.8,343.54,8188
2014-11-09,343.54,362.21,341.78,362.04,12627
2014-11-10,362.04,374.67,356.6,367.15,22804
2014-11-11,367.15,370.99,361.87,365.42,15790
2014-11-12,365.42,442.73,365.81,432.03,38528
2014-11-13,432.03,480.45,390.88,428.72,58200
2014-11-14,428.72,430.18,381.99,396.53,35731
2014-11-15,396.53,407.32,367.97,374.86,13328
2014-11-16,374.86,390.36,370.54,385.61,14350
2014-11-17,385.61,412.33,378.32,384.69,27600
2014-11-18,384.69,394.94,371.95,379.16,27093
2014-11-19,379.16,389.29,374.26,381.43,19867
2014-11-20,381.43,383.03,355.11,357.3,21984
2014-11-21,357.3,358.73,343.8,351.77,23467
2014-11-22,351.77,364.21,350.51,352.01,12943
2014-11-23,352.01,370.59,352.64,365.85,12413
