Period,Point_Forecast,Quantile Forecast
1,34545.50894060507,31782.09375,28859.875,30036.28125,30753.673828125,31392.634765625,31947.841796875,32501.6015625,33054.03515625,33710.7890625,34703.05078125
2,34619.52115542998,31979.55859375,28902.111328125,30093.841796875,30913.05078125,31583.470703125,32201.71875,32745.859375,33352.171875,34040.53515625,35039.59375
3,35828.834724299406,32121.12890625,28843.189453125,30130.826171875,30959.57421875,31692.7421875,32353.794921875,32987.1796875,33605.69921875,34336.28125,35399.375
4,34361.30755214722,32083.22265625,28624.125,29963.111328125,30870.921875,31639.357421875,32383.76171875,33037.3984375,33690.05078125,34495.6796875,35690.203125
5,33458.360111868344,32221.994140625,28526.97265625,29988.51953125,30949.681640625,31756.83984375,32513.380859375,33193.4140625,33894.32421875,34728.49609375,35919.36328125
6,32769.01656522577,32281.34375,28478.376953125,30013.75390625,31003.51171875,31845.21484375,32624.947265625,33331.62109375,34050.8671875,34902.46875,36139.5078125
7,36174.01409594227,32390.79296875,28457.2265625,30007.68359375,31057.5078125,31969,32779.8046875,33522.7578125,34269.28125,35139.43359375,36408.70703125
8,33600.20379516972,32518.15625,28289.96875,29891.07421875,31071.94921875,32083.96875,32963.73046875,33760.28515625,34565.04296875,35545.234375,36858.4375
9,34317.11439253437,32641.11328125,28234.73046875,29932.3046875,31140.9140625,32179.748046875,33094.95703125,33888.140625,34739.3515625,35728.515625,37085.859375
10,36769.683278308,32667.572265625,28016.939453125,29825.455078125,31132.0078125,32220.70703125,33135.28515625,33984.546875,34880.4453125,35884.05859375,37355.2421875
11,28514.823671570965,32764.076171875,27933.46484375,29837.4765625,31164.0625,32294.66015625,33251.640625,34139.98828125,35053.96875,36167.85546875,37613.26953125
12,34745.83361431628,32813.8828125,27827.265625,29775.00390625,31152.3984375,32318.880859375,33328.96484375,34283.38671875,35227.59765625,36367.296875,37876.07421875
13,33359.87912242111,33021.6953125,27803.291015625,29868.0625,31281.353515625,32482.751953125,33525.72265625,34483.54296875,35463.41015625,36624.0390625,38204.4453125
14,31849.387366288793,33059.53125,27610.80078125,29798.6796875,31249.578125,32476.62890625,33561.52734375,34574.9453125,35605.234375,36868.4921875,38508.125
15,33878.42760591667,33183.5234375,27371.162109375,29737.1328125,31247.6640625,32575.953125,33698.65625,34761.8828125,35864.6953125,37163.2578125,38917.1875
16,29317.475083837206,33185.0390625,27180.2421875,29631.76953125,31195.1640625,32527.080078125,33675.99609375,34799.42578125,35930.55859375,37287.15234375,39039.11328125
17,31766.230149461255,33399.0703125,27189.23828125,29712.1796875,31308.51171875,32684.345703125,33918.23046875,35037.7890625,36206.66015625,37578.53125,39405.625
18,32814.86044841054,33415.39453125,26896.005859375,29589.75,31265.541015625,32668.134765625,33904.69921875,35092.125,36287.671875,37698.3125,39565.4140625
19,35834.27193707008,33604.10546875,26848.28515625,29707.33203125,31407.234375,32860.5234375,34154.41796875,35342.96875,36526.2734375,37983.98828125,39864.1171875
20,29776.797396902344,33742.90234375,26660.76171875,29702.384765625,31470.36328125,32997.19921875,34312.17578125,35549.734375,36821.95703125,38282.56640625,40220.078125
21,31868.873017070342,33793.1953125,26516.15625,29659.765625,31504.033203125,33043.80859375,34400.15625,35648.3828125,36935.93359375,38450.2265625,40426.703125
22,28106.292555400007,33913.453125,26172.666015625,29552.0078125,31472.095703125,33072.73046875,34516.28125,35837.7265625,37190.01953125,38720.4140625,40753.15625
23,32394.49428963455,34058.95703125,26064.09765625,29547.33203125,31564.19921875,33207.87890625,34680.94140625,36024.4453125,37411.66796875,38984.390625,41048.875
24,32143.32943735525,34152.5546875,25924.455078125,29472.404296875,31621.921875,33321.046875,34815.04296875,36173.45703125,37609.765625,39157.89453125,41281.15234375
